attention_global_logit_bias,attention_global_mass,checkpoint,family,global_local_ratio,global_mass,global_read_gate,global_scale,intervention,perplexity,public_avg,reason_exact,route_entropy,teacher_acc,validation_loss
,,checkpoint_step_00015000,hidden,,0.0,0.0,0.0,default,28.23381525045089,,0.625,1.684671924664424,0.9270833333333333,3.3405203819274902
,,checkpoint_step_00015000,hidden,0.0030619549576471907,0.0,0.3000604510307312,0.25,default,27.76450381695672,,0.625,1.6928638219833374,0.9270833333333333,3.323758363723755
,,checkpoint_step_00015000,hidden,0.006113620082978589,0.0,0.3000604510307312,0.5,default,27.439997319441225,,0.625,1.6934383373994093,0.9270833333333333,3.3120017051696777
,,checkpoint_step_00015000,hidden,0.012257963821107633,0.0,0.3000604510307312,1.0,default,27.107440944057522,,0.625,1.6974488038283129,0.9270833333333333,3.2998082637786865
,,checkpoint_step_00015000,hidden,0.018439961984042127,0.0,0.3000604510307312,1.5,default,27.169199737855674,,0.625,1.7050946767513568,0.9270833333333333,3.302083969116211
,,checkpoint_step_00030000,hidden,,0.0,0.0,0.0,default,21.621285193049278,,0.625,1.7800153493881226,0.9114583333333333,3.0736782550811768
,,checkpoint_step_00030000,hidden,0.005187430139209099,0.0,0.45237237215042114,0.25,default,20.930996688094382,,0.625,1.779324669104356,0.9114583333333333,3.041231155395508
,,checkpoint_step_00030000,hidden,0.010030779207600333,0.0,0.45237237215042114,0.5,default,20.440895874295915,,0.625,1.7731140301777766,0.9427083333333333,3.0175375938415527
,,checkpoint_step_00030000,hidden,0.018973249557563205,0.0,0.45237237215042114,1.0,default,19.978549748174924,,0.625,1.7606450044191801,0.9427083333333333,2.994659185409546
,,checkpoint_step_00030000,hidden,0.027525092221935846,0.0,0.45237234234809875,1.5,default,20.147522373806726,,0.5,1.7852655748526256,0.9010416666666666,3.0030813217163086
,,checkpoint_step_00045000,hidden,,0.0,0.0,0.0,default,766083.5504111707,,0.0,1.1488258143266041,0.18619791666666666,13.549046516418457
,,checkpoint_step_00045000,hidden,0.004245839519996618,0.0,0.8245775699615479,0.25,default,18185.400937955226,,0.0,1.054845622994683,0.35937499999999994,9.808374404907227
,,checkpoint_step_00045000,hidden,0.008172121690169919,0.0,0.8245776295661926,0.5,default,285.15360823093664,,0.0,1.2843789415700095,0.41796874999999994,5.6530280113220215
