attention_global_logit_bias,attention_global_mass,cached_public_s200_avg,cached_s600_reason_exact,cached_s600_teacher_acc,checkpoint,family,global_local_ratio,global_mass,global_read_gate,global_scale,intervention,norm_global_local_ratio,perplexity,public_avg,reason_exact,route_entropy,teacher_acc,validation_loss
,,0.37166666666666665,0.735,0.9178391400266406,checkpoint_step_00015000,hidden,0.012257963821107633,0.0,0.3000604510307312,1.0,default,0.014890811505860515,27.107440944057522,,0.625,1.6974488038283129,0.9270833333333333,3.2998082637786865
,,0.3616666666666667,0.6216666666666667,0.9139629641192145,checkpoint_step_00030000,hidden,0.018973249557563205,0.0,0.45237237215042114,1.0,default,0.019659404044172595,19.978549748174924,,0.625,1.7606450044191801,0.9427083333333333,2.994659185409546
,,0.35833333333333334,0.0,0.2750041694416695,checkpoint_step_00045000,hidden,0.014928647646455996,0.0,0.8245776295661926,1.0,default,0.018507206612931832,12.429672117681546,,0.0,1.9442281539623554,0.29166666666666663,2.5200865268707275
-0.856229305267334,0.13205192983150482,0.37166666666666665,0.715,0.9184873633311139,checkpoint_step_00015000,attention,,0.13205192983150482,,1.0,default,,26.963970341068364,,0.5,1.6022390585679274,0.9583333333333333,3.294501543045044
0.27634668350219727,0.31651708483695984,0.365,0.5533333333333333,0.8854938048063054,checkpoint_step_00030000,attention,,0.31651708483695984,,1.0,default,,19.57475139088195,,0.625,1.71298244366279,0.9270833333333333,2.97424054145813
0.4776105582714081,0.397034615278244,0.37333333333333335,0.3466666666666667,0.8737741078366094,checkpoint_step_00045000,attention,,0.397034615278244,,1.0,default,,14.827868362112298,,0.5,1.8033523651269765,0.9114583333333333,2.6965084075927734
0.630217432975769,0.4034753143787384,0.34,0.023333333333333334,0.3758944735819738,checkpoint_step_00060000,attention,,0.4034753143787384,,1.0,default,,7.555593002419236,,0.25,1.385366828979126,0.3619791666666667,2.0222880840301514
