attention_global_logit_bias,attention_global_mass,checkpoint,family,global_local_ratio,global_mass,global_read_gate,global_scale,intervention,perplexity,public_avg,reason_exact,route_entropy,teacher_acc,validation_loss
,,checkpoint_step_00015000,hidden,0.012257963821107633,0.0,0.3000604510307312,1.0,default,27.107440944057522,,0.625,1.6974488038283129,0.9270833333333333,3.2998082637786865
,,checkpoint_step_00015000,hidden,,0.0,0.0,1.0,global_off,28.23381525045089,,0.625,1.684671924664424,0.9270833333333333,3.3405203819274902
,,checkpoint_step_00015000,hidden,0.012384321757606101,0.0,0.3000604510307312,1.0,sink_only,27.1074280182255,,0.625,1.6974488588479848,0.9270833333333333,3.2998077869415283
,,checkpoint_step_00015000,hidden,0.0067750113521882,0.0,0.3000604510307312,1.0,window_only,28.366493572538836,,0.625,1.680871449984037,0.9270833333333333,3.3452086448669434
,,checkpoint_step_00015000,hidden,0.012257963836903918,0.0,0.3000604510307312,1.0,slot_shuffle,27.107434481140743,,0.625,1.6974488221682036,0.9270833333333333,3.2998080253601074
,,checkpoint_step_00015000,hidden,0.012258170861026844,0.0,0.3000604510307312,1.0,batch_memory_swap,28.001010015659123,,0.625,1.697496854341947,0.9270833333333333,3.332240581512451
,,checkpoint_step_00030000,hidden,0.018973249557563205,0.0,0.45237237215042114,1.0,default,19.978549748174924,,0.625,1.7606450044191801,0.9427083333333333,2.994659185409546
,,checkpoint_step_00030000,hidden,,0.0,0.0,1.0,global_off,21.621285193049278,,0.625,1.7800153493881226,0.9114583333333333,3.0736782550811768
,,checkpoint_step_00030000,hidden,0.018954031342017678,0.0,0.45237237215042114,1.0,sink_only,19.984714354190405,,0.5,1.7595622356121356,0.9427083333333333,2.9949676990509033
,,checkpoint_step_00030000,hidden,0.013287888734196092,0.0,0.45237237215042114,1.0,window_only,21.44984584693179,,0.625,1.7846277126899133,0.9114583333333333,3.0657174587249756
,,checkpoint_step_00030000,hidden,0.018973249445554775,0.0,0.45237237215042114,1.0,slot_shuffle,19.978549748174924,,0.625,1.7606449677393987,0.9427083333333333,2.994659185409546
,,checkpoint_step_00030000,hidden,0.01897533020564305,0.0,0.45237237215042114,1.0,batch_memory_swap,22.873398634294535,,0.625,1.7782791027655969,0.9427083333333333,3.129974603652954
,,checkpoint_step_00045000,hidden,0.014928647646455996,0.0,0.8245776295661926,1.0,default,12.429672117681546,,0.0,1.9442281539623554,0.29166666666666663,2.5200865268707275
,,checkpoint_step_00045000,hidden,,0.0,0.0,1.0,global_off,766083.5504111707,,0.0,1.1488258143266041,0.18619791666666666,13.549046516418457
,,checkpoint_step_00045000,hidden,0.011734271202345681,0.0,0.8245776295661926,1.0,sink_only,128386.21559888772,,0.0,1.1268773462091173,0.015625,11.762798309326172
,,checkpoint_step_00045000,hidden,0.014390491784088046,0.0,0.8245776295661926,1.0,window_only,4329.9448712879985,,0.0,1.120027981698513,0.4466145833333333,8.373310089111328
,,checkpoint_step_00045000,hidden,0.014928647537103053,0.0,0.8245776295661926,1.0,slot_shuffle,12.429675081146664,,0.0,1.9442281447924101,0.29166666666666663,2.5200867652893066
,,checkpoint_step_00045000,hidden,0.01496724470451291,0.0,0.8245776295661926,1.0,batch_memory_swap,3897147.7632950777,,0.0,0.8329061727438655,0.29166666666666663,15.175755500793457
-0.856229305267334,0.13205192983150482,checkpoint_step_00015000,attention,,0.13205192983150482,,1.0,default,26.963970341068364,,0.5,1.6022390585679274,0.9583333333333333,3.294501543045044
-0.8537008762359619,0.0,checkpoint_step_00015000,attention,,0.0,,1.0,global_off,29.056541010534822,,0.5,1.6003318016345685,0.8294270833333333,3.369243621826172
-0.8583690524101257,0.12356019020080566,checkpoint_step_00015000,attention,,0.12356019020080566,,1.0,sink_only,26.9619967988663,,0.625,1.6006313929191003,0.9583333333333333,3.2944283485412598
-0.8326024413108826,0.03593350574374199,checkpoint_step_00015000,attention,,0.03593350574374199,,1.0,window_only,28.261852255460454,,0.5,1.5897675294142504,0.8489583333333333,3.34151291847229
-0.856229305267334,0.13205191493034363,checkpoint_step_00015000,attention,,0.13205191493034363,,1.0,slot_shuffle,26.96395748364844,,0.5,1.6022390493979821,0.9583333333333333,3.2945010662078857
-0.856229305267334,0.13362175226211548,checkpoint_step_00015000,attention,,0.13362175226211548,,1.0,batch_memory_swap,27.322711433493815,,0.5,1.603599841778095,0.9583333333333333,3.307718276977539
0.27634668350219727,0.31651708483695984,checkpoint_step_00030000,attention,,0.31651708483695984,,1.0,default,19.57475139088195,,0.625,1.71298244366279,0.9270833333333333,2.97424054145813
0.2903686761856079,0.0,checkpoint_step_00030000,attention,,0.0,,1.0,global_off,48.87131767738992,,0.0,1.6242941277367728,0.2903645833333333,3.889190673828125
0.27634668350219727,0.29207292199134827,checkpoint_step_00030000,attention,,0.29207292199134827,,1.0,sink_only,19.63932271380581,,0.625,1.7126175531974206,0.9270833333333333,2.9775338172912598
0.28357645869255066,0.11965083330869675,checkpoint_step_00030000,attention,,0.11965083330869675,,1.0,window_only,32.61858168468864,,0.375,1.704641186274015,0.9453125,3.484882116317749
0.27634668350219727,0.31651708483695984,checkpoint_step_00030000,attention,,0.31651708483695984,,1.0,slot_shuffle,19.57475139088195,,0.625,1.7129824711726263,0.9270833333333333,2.97424054145813
0.2604823708534241,0.3035010099411011,checkpoint_step_00030000,attention,,0.3035010099411011,,1.0,batch_memory_swap,35.6726472803311,,0.625,1.736004453438979,0.9270833333333333,3.5743842124938965
0.4776105582714081,0.397034615278244,checkpoint_step_00045000,attention,,0.397034615278244,,1.0,default,14.827868362112298,,0.5,1.8033523651269765,0.9114583333333333,2.6965084075927734
0.7331205606460571,0.0,checkpoint_step_00045000,attention,,0.0,,1.0,global_off,7893.695900900331,,0.0,1.745121194766118,0.0,8.973819732666016
0.5301948189735413,0.3274398744106293,checkpoint_step_00045000,attention,,0.3274398744106293,,1.0,sink_only,26.76681888634084,,0.25,1.8050692592348372,0.7838541666666666,3.287163019180298
0.7233812212944031,0.2598654627799988,checkpoint_step_00045000,attention,,0.2598654627799988,,1.0,window_only,43.52210361253415,,0.0,1.8589768409729004,0.3020833333333333,3.773268938064575
0.4776105582714081,0.39703455567359924,checkpoint_step_00045000,attention,,0.39703455567359924,,1.0,slot_shuffle,14.827871897352026,,0.5,1.8033523651269765,0.9114583333333333,2.6965086460113525
